ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Customer_Age,Tenure_days,Total_Kids,TotalSpend,Cluster,Cluster_Label
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,663,0,1617,2,Medium-High Value
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,113,2,27,0,Low-Value / At-Risk
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,312,0,776,1,High-Value & Active
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,139,1,53,0,Low-Value / At-Risk
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,161,1,422,1,High-Value & Active
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,293,1,716,1,High-Value & Active
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,593,1,590,1,High-Value & Active
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,417,1,169,0,Low-Value / At-Risk
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,388,1,46,0,Low-Value / At-Risk
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,108,2,49,0,Low-Value / At-Risk
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,42,226,1,19,0,Low-Value / At-Risk
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,593,0,61,0,Low-Value / At-Risk
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,226,0,1102,2,Medium-High Value
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,226,2,310,1,High-Value & Active
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,627,0,46,0,Low-Value / At-Risk
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,582,0,1315,2,Medium-High Value
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,552,2,96,0,Low-Value / At-Risk
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,667,0,317,1,High-Value & Active
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,458,1,1782,2,Medium-High Value
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,603,1,133,0,Low-Value / At-Risk
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,690,0,316,0,Low-Value / At-Risk
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,539,1,1730,1,High-Value & Active
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,553,1,972,1,High-Value & Active
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,169,1,544,1,High-Value & Active
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,468,1,444,1,High-Value & Active
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,543,0,75,0,Low-Value / At-Risk
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,398,2,257,0,Low-Value / At-Risk
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,39,494,1,637,2,Medium-High Value
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,394,1,131,0,Low-Value / At-Risk
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,219,0,1672,2,Medium-High Value
